,epoch,training_loss,training_accuracy,training_f1,training_iou,training_prec,training_rec,val_loss,val_accuracy,val_f1,val_iou,val_prec,val_rec
0,0,0.16037320402466645,0.9386483,0.756529,0.37547457,0.51615727,0.57940716,0.07359207669893901,0.9725319,0.8687782,0.60268736,0.77028453,0.7347466
1,1,0.08742788935995709,0.96695924,0.8549851,0.5717797,0.7650679,0.6935526,0.06943028384730929,0.97313094,0.88202167,0.6371231,0.7384831,0.82275534
2,2,0.08174418165522107,0.96883863,0.86330205,0.59133196,0.7822424,0.7078536,0.06574139513430141,0.97444075,0.88575274,0.64621663,0.75885874,0.81320626
3,3,0.07864649053978717,0.97017336,0.8696348,0.6066195,0.7930924,0.7206725,0.06475122272968292,0.9754135,0.8789127,0.6270948,0.81792146,0.7288396
4,4,0.07603397365596334,0.97089803,0.8723921,0.6132616,0.799659,0.72458905,0.0619084874079341,0.97608083,0.88736266,0.64934546,0.7917625,0.78308094
5,5,0.07333958679336612,0.97168565,0.8763772,0.62315387,0.8040394,0.73474306,0.06503135923828397,0.9749001,0.8870002,0.6492635,0.7607287,0.81587523
6,6,0.07109060248959873,0.9723844,0.87980354,0.6317403,0.8078408,0.74346054,0.059873441145533605,0.97659624,0.8874124,0.6490871,0.8244532,0.7531821
7,7,0.0689757297731052,0.9726816,0.88126504,0.63543123,0.8107594,0.74608886,0.06195386162116414,0.97585917,0.88459873,0.6420029,0.80783474,0.7577202
8,8,0.06828816298205974,0.973041,0.8825444,0.6386,0.8136016,0.7480424,0.06102094728322256,0.97669303,0.89111996,0.6591924,0.8116292,0.77825975
9,9,0.06457755380010201,0.9743511,0.8887581,0.65450567,0.822077,0.7625209,0.060999831628231777,0.97573245,0.8911456,0.6600114,0.77175987,0.8200852
10,10,0.06271413416933205,0.9748077,0.8913468,0.66129404,0.8220245,0.7717967,0.05903160359178271,0.97703534,0.8934729,0.6654514,0.7947839,0.8035125
11,11,0.062041801889821634,0.9748753,0.8917354,0.6623186,0.82148266,0.7736727,0.06102818020042919,0.975994,0.89181817,0.6616696,0.77481353,0.8192054
12,12,0.061091573214379406,0.9753171,0.8934906,0.666854,0.82596594,0.77587044,0.06121311851200603,0.9766018,0.8912355,0.65958256,0.79288054,0.7968849
13,13,0.05597427882001561,0.97694135,0.90091544,0.686515,0.8342424,0.7949505,0.05969486864549773,0.9768219,0.88370484,0.63886344,0.84395057,0.7244402
14,14,0.0550101859400333,0.9771609,0.902105,0.68974113,0.8362085,0.7974829,0.05997749684112413,0.9773598,0.892398,0.6622118,0.8162264,0.77824605
15,15,0.05138939325460943,0.9786247,0.90884614,0.7080774,0.8450297,0.81374604,0.060010384768247604,0.97695327,0.89313483,0.66457486,0.7876833,0.8096014
16,16,0.05354001644556805,0.97773075,0.9047729,0.69695824,0.8398509,0.8037819,0.061825696911130636,0.97677004,0.89406514,0.6673101,0.7852959,0.81622773
17,17,0.0524025762422105,0.97824335,0.9071282,0.7033739,0.8414716,0.8108166,0.06233769460093407,0.97612303,0.8910333,0.65939635,0.7836271,0.8061776
18,18,0.04750885448213351,0.97991073,0.91462445,0.72408783,0.8522551,0.8280269,0.06147539580152148,0.9762565,0.8937422,0.66681355,0.7662896,0.83704424
19,19,0.044426891100356136,0.98118097,0.92034006,0.7402238,0.85896105,0.8426406,0.0634497290565854,0.9769151,0.89068806,0.657828,0.81739765,0.771153
20,20,0.04210134725070606,0.98209953,0.9244843,0.75211626,0.8640221,0.8530939,0.06262920442081633,0.97681266,0.88975483,0.6553372,0.82250494,0.7632808
21,21,0.040822033075836754,0.9826306,0.9266341,0.75830126,0.8691905,0.8559875,0.06358187556976364,0.977058,0.89378196,0.6662944,0.8046998,0.794825
22,22,0.04038721862864696,0.98275054,0.9274733,0.76080525,0.8670586,0.8612729,0.06311020751794179,0.97706825,0.8947266,0.668923,0.7940172,0.8093747
23,23,0.0377453869145553,0.98387593,0.932065,0.7742092,0.87578017,0.8697154,0.06628365335719925,0.9765225,0.88977486,0.65561616,0.80305636,0.7812255
24,24,0.035967493224573335,0.9846991,0.93582916,0.78544164,0.8812719,0.8783908,0.06435581438598179,0.97757024,0.8916615,0.6600096,0.81481177,0.77648664
25,25,0.034982938603576964,0.98509586,0.9373778,0.79005086,0.8848394,0.8805974,0.06624131064329829,0.97593737,0.89027286,0.6574412,0.78326744,0.80363536
26,26,0.033720804236324155,0.98561865,0.93951714,0.79648083,0.88780904,0.88561815,0.06830145808912459,0.97632927,0.8925586,0.66346157,0.78470904,0.8111032
27,27,0.03165640210006702,0.9864958,0.94339114,0.8083078,0.8933113,0.894677,0.06948505253309295,0.9771111,0.8906892,0.6576797,0.8197471,0.76887083
28,28,0.031014873693555087,0.98683536,0.9448171,0.812685,0.8968751,0.8964537,0.06906786578751746,0.97627234,0.88438463,0.64111143,0.8268664,0.74051803
29,29,0.03438054484520423,0.9854025,0.9387012,0.7940384,0.8875728,0.88283324,0.06963696969406945,0.9769988,0.8911586,0.6590619,0.8049434,0.7843231
30,30,0.029106230490793614,0.98757505,0.94796723,0.82243985,0.90156937,0.903573,0.07631192249911171,0.97679085,0.8889127,0.65304154,0.8184052,0.7637042
